timestamp,current_price,predicted_price,actual_future_price,prediction_error,prediction_std,ci_lower,ci_upper,within_ci
2026-01-19 19:33:00,0.595,0.595,0.595,0.0,0.011682913991400328,0.5721014885768554,0.6178985114231446,True
2026-01-19 19:35:00,0.595,0.595,0.595,0.0,0.011406060504417502,0.5726441214113417,0.6173558785886583,True
2026-01-19 19:36:00,0.595,0.595,0.595,0.0,0.011185756962219864,0.5730759163540491,0.6169240836459509,True
2026-01-19 19:37:00,0.595,0.595,0.595,0.0,0.011009397405232876,0.5734215810857435,0.6165784189142565,True
2026-01-19 19:38:00,0.595,0.595,0.595,0.0,0.010867561826702654,0.5736995788196628,0.6163004211803371,True
2026-01-19 19:40:00,0.595,0.595,0.595,0.0,0.010753080235396523,0.5739239627386228,0.6160760372613772,True
2026-01-19 19:41:00,0.595,0.595,0.595,0.0,0.010660415429435337,0.5741055857583067,0.6158944142416932,True
2026-01-19 19:42:00,0.595,0.595,0.595,0.0,0.010585241721848304,0.5742529262251773,0.6157470737748226,True
2026-01-19 19:43:00,0.595,0.595,0.595,0.0,0.01052414884061857,0.5743726682723875,0.6156273317276124,True
2026-01-19 19:44:00,0.595,0.595,0.595,0.0,0.010474428531795595,0.5744701200776806,0.6155298799223193,True
2026-01-19 19:46:00,0.595,0.595,0.595,0.0,0.010433917458747633,0.5745495217808546,0.6154504782191453,True
2026-01-19 19:52:00,0.595,0.595,0.595,0.0,0.010400879446575523,0.574614276284712,0.615385723715288,True
2026-01-19 19:58:00,0.595,0.595,0.595,0.0,0.010373915871644913,0.5746671248915759,0.615332875108424,True
2026-01-19 20:01:00,0.595,0.595,0.595,0.0,0.01035189659913679,0.5747102826656919,0.615289717334308,True
2026-01-19 20:02:00,0.595,0.595,0.595,0.0,0.010333906191005174,0.5747455438656298,0.6152544561343701,True
2026-01-19 20:07:00,0.595,0.595,0.595,0.0,0.010319201637958565,0.5747743647896012,0.6152256352103987,True
2026-01-19 20:14:00,0.595,0.595,0.595,0.0,0.01030717890375928,0.5747979293486318,0.6152020706513681,True
2026-01-19 20:15:00,0.595,0.595,0.595,0.0,0.010297346284565011,0.5748172012822526,0.6151827987177474,True
2026-01-19 20:17:00,0.595,0.595,0.5549999999999999,-0.040000000000000036,0.010289303089319586,0.5748329659449336,0.6151670340550663,False
2026-01-19 20:25:00,0.5549999999999999,0.595,0.56,-0.03499999999999992,0.010282722508348567,0.5748458638836368,0.6151541361163632,False
2026-01-19 20:26:00,0.56,0.5911750531090519,0.56,-0.031175053109051887,0.010277337800894838,0.5710314710192981,0.6113186351988058,False
2026-01-19 20:27:00,0.56,0.5881968032078589,0.56,-0.02819680320785889,0.010272931127683335,0.5680618581975996,0.6083317482181183,False
2026-01-19 20:28:00,0.56,0.5855051638453491,0.56,-0.025505163845349066,0.01026932450141472,0.5653772878225762,0.605633039868122,False
2026-01-19 20:29:00,0.56,0.5830720119443996,0.56,-0.023072011944399562,0.01026637243979231,0.5629499219624067,0.6031941019263926,False
2026-01-19 20:31:00,0.56,0.5808721234626986,0.56,-0.02087212346269851,0.010263955991615658,0.5607547697191319,0.6009894772062653,False
2026-01-19 20:33:00,0.56,0.5788828391567193,0.56,-0.01888283915671929,0.01026197787321248,0.5587693625252229,0.5989963157882158,True
2026-01-19 20:35:00,0.56,0.5770837774747105,0.56,-0.01708377747471046,0.010260358504747599,0.5569734748054053,0.5971940801440158,True
2026-01-19 20:36:00,0.56,0.5754565860485545,0.56,-0.015456586048554488,0.010259032777175964,0.5553488818052896,0.5955642902918195,True
2026-01-19 20:37:00,0.56,0.5739847251435563,0.56,-0.013984725143556198,0.010257947413327875,0.5538791482134336,0.5940903020736789,True
2026-01-19 20:38:00,0.56,0.5726532778438901,0.56,-0.012653277843890032,0.010257058812719417,0.5525494425709601,0.5927571131168201,True
2026-01-19 20:39:00,0.56,0.5714487828242747,0.56,-0.01144878282427464,0.010256331290599534,0.5513463734946996,0.5915511921538498,True
2026-01-19 20:41:00,0.56,0.5703590863757583,0.56,-0.01035908637575822,0.01025573563856939,0.5502578445241623,0.5904603282273543,True
2026-01-19 20:44:00,0.56,0.569373210981025,0.5549999999999999,-0.014373210981025064,0.010255247947683309,0.5492729250035657,0.5894734969584843,True
2026-01-19 20:45:00,0.5549999999999999,0.5684812382204689,0.56,-0.008481238220468867,0.010254848645919575,0.5483817348744665,0.5885807415664713,True
2026-01-19 20:46:00,0.56,0.567198428092158,0.56,-0.007198428092157982,0.010254521710809065,0.5470995655389723,0.5872972906453438,True
2026-01-19 20:47:00,0.56,0.5665134996343365,0.56,-0.00651349963433645,0.010254254025236517,0.5464151617448729,0.5866118375238001,True
2026-01-19 20:48:00,0.56,0.5658937712088896,0.56,-0.005893771208889564,0.010254034850306393,0.5457958629022891,0.5859916795154901,True
2026-01-19 20:49:00,0.56,0.565333028678137,0.56,-0.005333028678136897,0.010253855393950538,0.5452354721059939,0.58543058525028,True
2026-01-19 20:50:00,0.56,0.5648256521311803,0.56,-0.004825652131180247,0.010253708457855074,0.5447283835537844,0.5849229207085762,True
2026-01-19 20:51:00,0.56,0.5643665585526267,0.5549999999999999,-0.009366558552626802,0.010253588148465364,0.5442695257816347,0.5844635913236188,True
2026-01-19 20:52:00,0.5549999999999999,0.563951150153799,0.5549999999999999,-0.008951150153799103,0.010253489640424798,0.5438543104585665,0.5840479898490316,True
2026-01-19 20:53:00,0.5549999999999999,0.5630996057947613,0.5549999999999999,-0.008099605794761322,0.010253408982924001,0.5430029241882303,0.5831962874012923,True
2026-01-19 20:55:00,0.5549999999999999,0.5623290818600153,0.5549999999999999,-0.007329081860015352,0.010253342941170184,0.5422325296953218,0.5824256340247088,True
2026-01-19 20:56:00,0.5549999999999999,0.5616318667967841,0.5549999999999999,-0.0066318667967841805,0.010253288866602745,0.5415354206182428,0.5817283129753255,True
2026-01-19 20:57:00,0.5549999999999999,0.5610009837768936,0.56,-0.0010009837768935048,0.010253244590639607,0.5409046243792399,0.5810973431745472,True
2026-01-19 20:59:00,0.56,0.5604301205045926,0.56,-0.00043012050459256823,0.01025320833768598,0.5403338321627281,0.5805264088464571,True
2026-01-19 21:00:00,0.56,0.5603892041420924,0.56,-0.00038920414209231424,0.010253178653912162,0.5402929739804245,0.5804854343037602,True
2026-01-19 21:01:00,0.56,0.5603521802519058,0.5549999999999999,-0.005352180251905869,0.010253154348940993,0.5402559977279815,0.5804483627758301,True
2026-01-19 21:02:00,0.5549999999999999,0.5603186784834892,0.5549999999999999,-0.005318678483489214,0.010253134448104355,0.5402225349652047,0.5804148220017736,True
2026-01-19 21:03:00,0.5549999999999999,0.5598127315771091,0.5549999999999999,-0.004812731577109153,0.010253118153352704,0.5397166199965377,0.5799088431576804,True
2026-01-19 21:04:00,0.5549999999999999,0.5593549149113918,0.5549999999999999,-0.004354914911391838,0.010253104811249076,0.5392588294813436,0.5794510003414399,True
2026-01-19 21:05:00,0.5549999999999999,0.558940649561863,0.56,0.0010593504381370966,0.010253093886763428,0.5388445855438067,0.5790367135799193,True
