timestamp,equity,datetime
1769567937.1869934,10000.0,2026-01-28 02:38:57.186993361
1769567952.2736998,10000.0,2026-01-28 02:39:12.273699760
1769567954.347672,10000.0,2026-01-28 02:39:14.347671986
1769567956.421316,10000.0,2026-01-28 02:39:16.421315908
1769567958.5386426,10000.0,2026-01-28 02:39:18.538642645
1769567960.6106236,10000.0,2026-01-28 02:39:20.610623598
1769567962.6827674,10000.0,2026-01-28 02:39:22.682767391
1769567964.7666106,10000.0,2026-01-28 02:39:24.766610622
1769567966.8429055,10000.0,2026-01-28 02:39:26.842905521
1769567968.919104,10000.0,2026-01-28 02:39:28.919104099
1769567970.993112,10000.0,2026-01-28 02:39:30.993112087
1769567973.0644448,10000.0,2026-01-28 02:39:33.064444779
1769567975.1409938,10000.0,2026-01-28 02:39:35.140993834
1769567977.2113092,10000.0,2026-01-28 02:39:37.211309195
1769567977.2118697,9997.4,2026-01-28 02:39:37.211869717
1769567979.2883112,9997.4,2026-01-28 02:39:39.288311243
1769567981.3604178,9997.4,2026-01-28 02:39:41.360417843
1769567983.4346685,9997.4,2026-01-28 02:39:43.434668541
1769567985.5094945,9997.4,2026-01-28 02:39:45.509494542
1769567987.5874019,9997.4,2026-01-28 02:39:47.587401867
1769567989.6602786,9997.4,2026-01-28 02:39:49.660278559
1769567991.7322216,9997.4,2026-01-28 02:39:51.732221603
1769567993.8070524,9997.4,2026-01-28 02:39:53.807052374
1769567995.881072,9997.4,2026-01-28 02:39:55.881072044
1769567997.9557657,9997.4,2026-01-28 02:39:57.955765724
1769568000.0271888,9997.4,2026-01-28 02:40:00.027188778
1769568002.100935,9997.4,2026-01-28 02:40:02.100934982
1769568004.1744642,9997.4,2026-01-28 02:40:04.174464226
1769568006.2550871,9997.4,2026-01-28 02:40:06.255087137
1769568008.3293176,9937.6,2026-01-28 02:40:08.329317570
1769568010.403228,9937.6,2026-01-28 02:40:10.403228045
1769568012.5149386,9937.6,2026-01-28 02:40:12.514938593
1769568012.515418,9940.2,2026-01-28 02:40:12.515418053
1769568014.5852468,10000.0,2026-01-28 02:40:14.585246801
1769568016.6678517,9719.650000000001,2026-01-28 02:40:16.667851686
1769568016.6684704,9706.300000000001,2026-01-28 02:40:16.668470383
1769568018.7469003,9986.650000000001,2026-01-28 02:40:18.746900320
1769568020.8189542,9953.300000000003,2026-01-28 02:40:20.818954229
1769568022.8926907,9953.300000000003,2026-01-28 02:40:22.892690659
1769568022.8931324,9954.025000000003,2026-01-28 02:40:22.893132448
