timestamp,equity,datetime
1769573063.763475,10.57,2026-01-28 04:04:23.763474941
1769573078.945716,10.57,2026-01-28 04:04:38.945715904
1769573081.024417,10.57,2026-01-28 04:04:41.024416924
1769573083.1012301,10.57,2026-01-28 04:04:43.101230145
1769573085.178889,10.57,2026-01-28 04:04:45.178889036
1769573087.2734554,10.57,2026-01-28 04:04:47.273455381
1769573089.3554404,10.57,2026-01-28 04:04:49.355440378
1769573091.4374373,10.57,2026-01-28 04:04:51.437437296
1769573093.5158775,10.57,2026-01-28 04:04:53.515877484
1769573095.5992105,10.57,2026-01-28 04:04:55.599210501
1769573097.6813679,10.57,2026-01-28 04:04:57.681367874
1769573099.767327,10.57,2026-01-28 04:04:59.767327070
1769573101.8463976,10.57,2026-01-28 04:05:01.846397638
1769573103.9262576,10.57,2026-01-28 04:05:03.926257610
1769573106.0070336,10.57,2026-01-28 04:05:06.007033587
1769573108.088802,10.57,2026-01-28 04:05:08.088802099
1769573110.1751347,10.57,2026-01-28 04:05:10.175134659
1769573112.2572465,10.57,2026-01-28 04:05:12.257246494
1769573114.3352246,10.57,2026-01-28 04:05:14.335224628
1769573116.4195075,10.57,2026-01-28 04:05:16.419507504
1769573118.498192,10.57,2026-01-28 04:05:18.498192072
1769573120.5760689,10.57,2026-01-28 04:05:20.576068878
1769573122.6678286,10.57,2026-01-28 04:05:22.667828560
1769573124.7639828,10.57,2026-01-28 04:05:24.763982773
1769573126.8445632,10.57,2026-01-28 04:05:26.844563246
1769573128.9238303,10.57,2026-01-28 04:05:28.923830271
1769573131.0043788,10.57,2026-01-28 04:05:31.004378796
1769573133.1831717,10.57,2026-01-28 04:05:33.183171749
1769573135.2645454,10.57,2026-01-28 04:05:35.264545441
1769573137.3445485,10.57,2026-01-28 04:05:37.344548464
1769573139.4213543,10.57,2026-01-28 04:05:39.421354294
1769573141.5038848,10.57,2026-01-28 04:05:41.503884792
1769573143.7925987,10.57,2026-01-28 04:05:43.792598724
1769573143.7932143,10.620000000000001,2026-01-28 04:05:43.793214321
1769573145.875149,10.62,2026-01-28 04:05:45.875149012
1769573147.95628,10.62,2026-01-28 04:05:47.956279993
1769573150.0339353,10.62,2026-01-28 04:05:50.033935308
1769573152.1160493,10.62,2026-01-28 04:05:52.116049290
1769573154.1967301,10.62,2026-01-28 04:05:54.196730137
1769573154.1976013,10.579999999999998,2026-01-28 04:05:54.197601318
1769573156.2887394,10.58,2026-01-28 04:05:56.288739443
1769573158.369865,9.16,2026-01-28 04:05:58.369864941
1769573158.3705697,9.16,2026-01-28 04:05:58.370569706
1769573160.450109,10.580000000000002,2026-01-28 04:06:00.450109005
1769573162.5311906,9.16,2026-01-28 04:06:02.531190634
1769573162.5318518,9.16,2026-01-28 04:06:02.531851768
1769573164.61103,10.580000000000002,2026-01-28 04:06:04.611030102
1769573166.696483,9.16,2026-01-28 04:06:06.696482897
1769573166.6974058,9.16,2026-01-28 04:06:06.697405815
