trade_id,timestamp,ticker,side,quantity,entry_price,exit_price,exit_timestamp,pnl,pnl_pct,fair_value,mispricing,signal_strength,orderbook_imbalance,score_differential,win_probability
1,1769567973.065165,KXNBAGAME-26JAN27DETDEN-DEN,buy,260,0.14500000000000002,0.135,1769567977.2118661,-2.6000000000000023,-6.896551724137937,0.13773084375073685,-0.0072691562492631645,0.001086128094291635,0.0,-13,0.02
2,1769568006.2557027,KXNBAGAME-26JAN27DETDEN-DEN,sell,260,0.11499999999999999,0.10500000000000001,1769568012.5154145,2.599999999999995,8.695652173913029,0.12581457787869257,0.010814577878692583,-0.0009680880051424862,0.0,-16,0.02
3,1769568014.5858705,KXNBAGAME-26JAN27DETDEN-DEN,sell,1335,0.10500000000000001,0.11499999999999999,1769568016.6684668,-13.349999999999975,-9.523809523809506,0.10682638756486944,0.0018263875648694278,-0.0020929627502478615,0.0,-16,0.02
4,1769568018.7479076,KXNBAGAME-26JAN27DETDEN-DEN,sell,145,0.11499999999999999,0.11,1769568022.89313,0.7249999999999986,4.347826086956514,0.10876785953471836,-0.00623214046528163,-0.0007238811877379604,0.0,-16,0.02
5,1769568037.4094913,KXNBAGAME-26JAN27DETDEN-DEN,sell,260,0.095,0.1,1769568039.4832745,-1.3000000000000012,-5.263157894736847,0.10189236099240537,0.006892360992405366,-0.0008802367036907405,0.0,-14,0.02
6,1769568041.5589695,KXNBAGAME-26JAN27DETDEN-DEN,sell,165,0.1,0.10500000000000001,1769568043.635612,-0.8250000000000007,-5.000000000000004,0.09959957407329131,-0.0004004259267086918,-0.0007186589354646032,0.0,-14,0.02
7,1769568074.8679938,KXNBAGAME-26JAN27DETDEN-DEN,sell,277,0.08499999999999999,0.09,1769568083.1649761,-1.3850000000000011,-5.882352941176476,0.09895179566718929,0.013951795667189293,-0.0008592285770408733,0.0,-16,0.02
8,1769568085.2437882,KXNBAGAME-26JAN27DETDEN-DEN,sell,687,0.08499999999999999,0.07500000000000001,1769568232.868806,6.869999999999987,11.764705882352919,0.08451039337580864,-0.0004896066241913549,-0.0013520538055149028,0.0,-16,0.02
9,1769568234.9447324,KXNBAGAME-26JAN27DETDEN-DEN,sell,246,0.07500000000000001,0.095,1769568278.520115,-4.919999999999997,-26.66666666666665,0.07929993761542004,0.004299937615420024,-0.0007605069136709078,0.0,-16,0.02
10,1769568280.5970745,KXNBAGAME-26JAN27DETDEN-DEN,buy,906,0.095,0.1,1769568282.6719985,4.530000000000004,5.263157894736846,0.08621267761340899,-0.00878732238659101,0.001641326420036294,0.0,-14,0.02
11,1769568284.7509007,KXNBAGAME-26JAN27DETDEN-DEN,buy,1587,0.1,0.10500000000000001,1769568286.8238838,7.935000000000007,5.0000000000000036,0.09562113133050963,-0.004378868669490374,0.002228487599776136,0.0,-14,0.02
12,1769568288.900738,KXNBAGAME-26JAN27DETDEN-DEN,buy,1581,0.10500000000000001,0.11,1769568311.7523062,7.904999999999985,4.761904761904753,0.10316653969835646,-0.0018334603016435524,0.002278073993593585,0.0,-14,0.02
