timestamp,equity,datetime
1769567459.0213785,10000,2026-01-28 02:30:59.021378517
1769567474.1024742,10000,2026-01-28 02:31:14.102474213
1769567476.1761115,10000,2026-01-28 02:31:16.176111460
1769567478.2949948,10000,2026-01-28 02:31:18.294994831
1769567480.3813038,10000,2026-01-28 02:31:20.381303787
1769567482.459448,10000,2026-01-28 02:31:22.459448099
1769567484.5370002,10000,2026-01-28 02:31:24.537000179
1769567486.6118634,10000,2026-01-28 02:31:26.611863375
1769567488.692782,10000,2026-01-28 02:31:28.692781925
1769567490.7768557,10000,2026-01-28 02:31:30.776855707
1769567492.8498318,10000,2026-01-28 02:31:32.849831820
1769567494.924437,10000,2026-01-28 02:31:34.924437046
1769567496.9983778,10000,2026-01-28 02:31:36.998377800
1769567499.075352,10000,2026-01-28 02:31:39.075351954
1769567501.1473093,10000,2026-01-28 02:31:41.147309303
1769567503.2232974,10000,2026-01-28 02:31:43.223297358
1769567505.3015535,10000,2026-01-28 02:31:45.301553488
1769567507.3760169,10000,2026-01-28 02:31:47.376016855
1769567509.454686,10000,2026-01-28 02:31:49.454685926
1769567511.545254,10000,2026-01-28 02:31:51.545253992
1769567513.6203172,10000,2026-01-28 02:31:53.620317221
1769567515.6945257,10000,2026-01-28 02:31:55.694525719
1769567517.7719913,10000,2026-01-28 02:31:57.771991253
1769567519.8449113,10000,2026-01-28 02:31:59.844911337
1769567521.9183311,10000,2026-01-28 02:32:01.918331146
1769567524.0069485,10000,2026-01-28 02:32:04.006948471
1769567526.0810323,10000,2026-01-28 02:32:06.081032276
1769567528.1577237,10000,2026-01-28 02:32:08.157723665
1769567530.2327077,10000,2026-01-28 02:32:10.232707739
1769567532.3283713,10000,2026-01-28 02:32:12.328371286
1769567534.4041207,10000,2026-01-28 02:32:14.404120684
1769567536.4793546,10000,2026-01-28 02:32:16.479354620
1769567538.5539405,10000,2026-01-28 02:32:18.553940535
1769567540.6315262,10000,2026-01-28 02:32:20.631526232
1769567542.7068605,10000,2026-01-28 02:32:22.706860542
1769567544.7864337,10000,2026-01-28 02:32:24.786433697
1769567546.8634968,10000,2026-01-28 02:32:26.863496780
1769567548.9378486,10000,2026-01-28 02:32:28.937848568
1769567551.0123827,10000,2026-01-28 02:32:31.012382746
1769567553.0916734,10000,2026-01-28 02:32:33.091673374
1769567555.1721957,10000,2026-01-28 02:32:35.172195673
1769567557.2483697,10000,2026-01-28 02:32:37.248369694
1769567559.3220675,10000,2026-01-28 02:32:39.322067499
1769567561.3997934,10000,2026-01-28 02:32:41.399793386
1769567563.4736183,10000,2026-01-28 02:32:43.473618269
1769567565.5493574,10000,2026-01-28 02:32:45.549357414
1769567567.6221895,10000,2026-01-28 02:32:47.622189522
1769567569.6981235,10000,2026-01-28 02:32:49.698123455
1769567571.7728095,10000,2026-01-28 02:32:51.772809505
1769567573.847613,10000,2026-01-28 02:32:53.847613096
1769567575.9210813,10000,2026-01-28 02:32:55.921081305
1769567577.997626,10000,2026-01-28 02:32:57.997626066
1769567580.0704622,10000,2026-01-28 02:33:00.070462227
1769567582.1497962,10000,2026-01-28 02:33:02.149796247
1769567584.228199,10000,2026-01-28 02:33:04.228199005
1769567586.3048532,10000,2026-01-28 02:33:06.304853201
1769567588.3791118,10000,2026-01-28 02:33:08.379111767
1769567590.4520376,10000,2026-01-28 02:33:10.452037573
1769567592.5249412,10000,2026-01-28 02:33:12.524941206
1769567594.6061738,10000,2026-01-28 02:33:14.606173754
1769567596.6859477,10000,2026-01-28 02:33:16.685947657
1769567598.758683,10000,2026-01-28 02:33:18.758682966
1769567600.8348517,10000,2026-01-28 02:33:20.834851742
1769567602.9083443,10000,2026-01-28 02:33:22.908344269
1769567604.9885323,10000,2026-01-28 02:33:24.988532305
1769567607.075558,10000,2026-01-28 02:33:27.075557947
1769567609.1487155,10000,2026-01-28 02:33:29.148715496
1769567611.222801,10000,2026-01-28 02:33:31.222800970
1769567613.2991948,10000,2026-01-28 02:33:33.299194813
1769567615.3707867,10000,2026-01-28 02:33:35.370786667
1769567617.4440174,10000,2026-01-28 02:33:37.444017410
1769567619.5202932,10000,2026-01-28 02:33:39.520293236
1769567621.5940742,10000,2026-01-28 02:33:41.594074249
1769567623.6726935,10000,2026-01-28 02:33:43.672693491
1769567625.7476563,10000,2026-01-28 02:33:45.747656345
1769567627.8266478,10000,2026-01-28 02:33:47.826647758
1769567629.899066,10000,2026-01-28 02:33:49.899065971
1769567631.975744,10000,2026-01-28 02:33:51.975744009
1769567634.063814,10000,2026-01-28 02:33:54.063813924
1769567636.1374748,10000,2026-01-28 02:33:56.137474775
1769567638.2148838,10000,2026-01-28 02:33:58.214883804
1769567640.2888174,10000,2026-01-28 02:34:00.288817406
1769567642.364039,10000,2026-01-28 02:34:02.364038944
1769567644.4400272,10000,2026-01-28 02:34:04.440027237
1769567646.5139565,10000,2026-01-28 02:34:06.513956547
1769567648.5873115,10000,2026-01-28 02:34:08.587311506
1769567650.6712096,10000,2026-01-28 02:34:10.671209574
1769567652.7517986,10000,2026-01-28 02:34:12.751798630
1769567654.8262756,10000,2026-01-28 02:34:14.826275587
1769567656.8994176,10000,2026-01-28 02:34:16.899417639
1769567658.9760246,10000,2026-01-28 02:34:18.976024628
1769567661.0548441,10000,2026-01-28 02:34:21.054844141
1769567663.1310453,10000,2026-01-28 02:34:23.131045341
1769567665.2099168,10000,2026-01-28 02:34:25.209916830
1769567667.3007236,10000,2026-01-28 02:34:27.300723553
1769567669.3825498,10000,2026-01-28 02:34:29.382549763
1769567671.4590573,10000,2026-01-28 02:34:31.459057331
1769567673.537918,10000,2026-01-28 02:34:33.537918091
1769567675.6094735,10000,2026-01-28 02:34:35.609473467
1769567677.6803095,10000,2026-01-28 02:34:37.680309534
1769567679.7558556,10000,2026-01-28 02:34:39.755855560
1769567681.8332217,10000,2026-01-28 02:34:41.833221674
1769567683.906792,10000,2026-01-28 02:34:43.906791925
1769567685.9781988,10000,2026-01-28 02:34:45.978198767
1769567688.05794,10000,2026-01-28 02:34:48.057940006
1769567690.1311455,10000,2026-01-28 02:34:50.131145477
1769567692.2050478,10000,2026-01-28 02:34:52.205047846
1769567694.2799,10000,2026-01-28 02:34:54.279900074
1769567696.35429,10000,2026-01-28 02:34:56.354290009
1769567698.4421601,10000,2026-01-28 02:34:58.442160130
1769567700.5138285,10000,2026-01-28 02:35:00.513828516
1769567702.588003,10000,2026-01-28 02:35:02.588002920
1769567704.664806,10000,2026-01-28 02:35:04.664805889
1769567706.735587,10000,2026-01-28 02:35:06.735586882
1769567708.8094573,10000,2026-01-28 02:35:08.809457302
1769567710.8846517,10000,2026-01-28 02:35:10.884651661
1769567712.9575644,10000,2026-01-28 02:35:12.957564354
1769567715.034591,10000,2026-01-28 02:35:15.034590960
1769567717.1077442,10000,2026-01-28 02:35:17.107744217
1769567719.1819916,10000,2026-01-28 02:35:19.181991577
1769567721.2573104,10000,2026-01-28 02:35:21.257310390
1769567723.3401537,10000,2026-01-28 02:35:23.340153694
1769567725.4190862,10000,2026-01-28 02:35:25.419086218
1769567727.492717,10000,2026-01-28 02:35:27.492717028
1769567729.5681148,10000,2026-01-28 02:35:29.568114758
1769567731.6419559,10000,2026-01-28 02:35:31.641955853
1769567733.7242246,10000,2026-01-28 02:35:33.724224567
1769567735.7993646,10000,2026-01-28 02:35:35.799364567
1769567737.8749545,10000,2026-01-28 02:35:37.874954462
1769567739.9617045,10000,2026-01-28 02:35:39.961704493
1769567742.041531,10000,2026-01-28 02:35:42.041531086
1769567744.11587,10000,2026-01-28 02:35:44.115869999
1769567746.1894937,10000,2026-01-28 02:35:46.189493656
1769567748.26152,10000,2026-01-28 02:35:48.261519909
1769567750.3509378,10000,2026-01-28 02:35:50.350937843
1769567752.42704,10000,2026-01-28 02:35:52.427040100
1769567754.5058076,10000,2026-01-28 02:35:54.505807637
1769567756.5809085,10000,2026-01-28 02:35:56.580908537
1769567758.655738,10000,2026-01-28 02:35:58.655738115
1769567760.7320392,10000,2026-01-28 02:36:00.732039213
1769567762.8179922,10000,2026-01-28 02:36:02.817992210
1769567764.8916154,10000,2026-01-28 02:36:04.891615391
1769567766.9637418,10000,2026-01-28 02:36:06.963741779
1769567769.0405972,10000,2026-01-28 02:36:09.040597200
1769567771.123561,10000,2026-01-28 02:36:11.123560905
1769567773.1995668,10000,2026-01-28 02:36:13.199566841
1769567775.2961056,10000,2026-01-28 02:36:15.296105623
1769567777.3697233,10000,2026-01-28 02:36:17.369723320
1769567779.444351,10000,2026-01-28 02:36:19.444350958
1769567781.518637,10000,2026-01-28 02:36:21.518636942
1769567783.5931423,10000,2026-01-28 02:36:23.593142271
1769567785.667634,10000,2026-01-28 02:36:25.667634010
1769567787.7458997,10000,2026-01-28 02:36:27.745899677
1769567789.8223162,10000,2026-01-28 02:36:29.822316170
1769567791.8976882,10000,2026-01-28 02:36:31.897688150
1769567793.9752774,10000,2026-01-28 02:36:33.975277424
1769567796.0487595,10000,2026-01-28 02:36:36.048759460
1769567798.1235466,10000,2026-01-28 02:36:38.123546600
1769567800.1970813,10000,2026-01-28 02:36:40.197081327
1769567802.2720184,10000,2026-01-28 02:36:42.272018433
1769567804.3491874,10000,2026-01-28 02:36:44.349187374
1769567806.425249,10000,2026-01-28 02:36:46.425249100
1769567808.5037286,10000,2026-01-28 02:36:48.503728627
1769567810.577897,10000,2026-01-28 02:36:50.577897072
1769567812.6535878,10000,2026-01-28 02:36:52.653587818
1769567814.7275963,10000,2026-01-28 02:36:54.727596283
1769567816.803378,10000,2026-01-28 02:36:56.803378105
1769567818.889583,10000,2026-01-28 02:36:58.889583111
1769567820.9670563,10000,2026-01-28 02:37:00.967056274
1769567823.0554612,10000,2026-01-28 02:37:03.055461168
1769567825.1295602,10000,2026-01-28 02:37:05.129560232
1769567827.203294,10000,2026-01-28 02:37:07.203294039
1769567829.280556,10000,2026-01-28 02:37:09.280555964
1769567831.359325,10000,2026-01-28 02:37:11.359324932
1769567833.4344907,10000,2026-01-28 02:37:13.434490681
1769567835.5105596,10000,2026-01-28 02:37:15.510559559
1769567837.5907898,10000,2026-01-28 02:37:17.590789795
1769567839.6666176,10000,2026-01-28 02:37:19.666617632
1769567841.7480924,10000,2026-01-28 02:37:21.748092413
1769567843.9230187,10000,2026-01-28 02:37:23.923018694
1769567846.1010273,10000,2026-01-28 02:37:26.101027250
1769567848.1763892,10000,2026-01-28 02:37:28.176389217
1769567850.2573822,10000,2026-01-28 02:37:30.257382153
1769567852.3390918,10000,2026-01-28 02:37:32.339091778
1769567854.4122367,10000,2026-01-28 02:37:34.412236691
1769567856.4906566,10000,2026-01-28 02:37:36.490656614
1769567858.5643098,10000,2026-01-28 02:37:38.564309835
1769567860.6364787,10000,2026-01-28 02:37:40.636478662
1769567862.7147758,10000,2026-01-28 02:37:42.714775801
1769567864.7931614,10000,2026-01-28 02:37:44.793161392
1769567866.866282,10000,2026-01-28 02:37:46.866281986
1769567868.942885,10000,2026-01-28 02:37:48.942884922
1769567871.0226724,10000,2026-01-28 02:37:51.022672415
1769567873.1304145,10000,2026-01-28 02:37:53.130414486
1769567875.2103243,10000,2026-01-28 02:37:55.210324287
1769567877.2859125,10000,2026-01-28 02:37:57.285912514
1769567879.3695316,10000,2026-01-28 02:37:59.369531631
1769567881.542562,10000,2026-01-28 02:38:01.542562008
1769567883.6170192,10000,2026-01-28 02:38:03.617019176
1769567885.6976814,10000,2026-01-28 02:38:05.697681427
1769567887.7709794,10000,2026-01-28 02:38:07.770979404
1769567889.8467836,10000,2026-01-28 02:38:09.846783638
1769567891.921622,10000,2026-01-28 02:38:11.921622038
1769567893.9936843,10000,2026-01-28 02:38:13.993684292
1769567896.0769162,10000,2026-01-28 02:38:16.076916218
1769567898.1514044,10000,2026-01-28 02:38:18.151404381
1769567900.2397487,10000,2026-01-28 02:38:20.239748716
1769567902.3170145,10000,2026-01-28 02:38:22.317014456
1769567904.3911877,10000,2026-01-28 02:38:24.391187668
